k	ek	hk
0	1	0
1	1	0.357142857
2	1	0.569727891
3	1	0.696266602
4	1	0.771587263
5	1	0.81642099
6	1	0.843107732
7	1	0.858992698
8	1	0.868448034
9	1	0.874076211
10	1	0.877426316
11	1	0.879420426
12	1	0.880607397
13	1	0.881313927
14	1	0.88173448
15	1	0.88198481
16	1	0.882133815
17	1	0.882222509
18	1	0.882275303
19	1	0.882306728
20	1	0.882325433
21	1	0.882336567
22	1	0.882343195
23	1	0.88234714
24	1	0.882349488
25	1	0.882350886
26	1	0.882351718
27	1	0.882352213
28	1	0.882352508
29	1	0.882352683
30	1	0.882352788
